Date,Start time,End time,Slit ID,Loop length (Mm),Amplitude (km),Amplitude uncertainty (km),Period (s),Period uncertainty (s),Duration (s),Minor radius (km),Intensity ratio
2020-05-21,19:02:30,19:03:15,1,23,100,41,31.2,2.5,48,216,1.30
2020-05-21,19:02:30,19:03:27,1,23,63,27,18.3,1.2,60,433,1.46
2020-05-21,19:02:51,19:03:30,2,26,287,42,18.7,0.9,42,276,1.24
2020-05-21,19:03:31,19:04:05,1,20,53,25,20.9,3.2,36,390,1.59
2020-05-21,19:03:33,19:04:05,2,31,264,49,12.0,0.4,34,255,1.26
2021-09-13,00:13:55,00:14:45,1,23,54,30,17.5,1.8,52,241,1.27
2021-09-13,00:18:55,00:21:37,1,23,108,19,83.4,4.5,164,387,1.46
2021-09-13,00:14:17,00:17:07,2,19,68,22,156.6,32.2,172,405,1.59
2021-09-13,00:18:39,00:20:41,2,19,34,9,37.7,2.3,124,323,1.41
2021-09-13,00:18:39,00:19:01,2,19,53,27,19.5,5.2,24,259,1.27
2021-09-13,00:14:41,00:19:37,3,27,125,8,204.9,10.5,298,419,1.86
2021-09-13,00:11:51,00:12:31,5,28,123,40,12.5,0.8,42,256,1.20
2022-03-08,00:00:03,00:07:45,1,28,35,4,196.7,7.5,465,314,1.84
2022-03-08,00:13:45,00:18:12,1,28,95,17,254.1,33.0,270,385,2.36
2022-03-08,00:01:27,00:03:15,2,16,38,11,69.2,9.6,111,217,1.34
2022-03-08,00:03:54,00:08:03,2,16,36,8,74.1,3.7,252,350,1.82
2022-03-08,00:10:18,00:13:45,2,16,86,7,122.8,3.5,210,266,1.74
2022-03-08,00:20:27,00:22:27,2,16,34,16,30.7,1.8,123,360,1.51
2022-03-08,00:24:15,00:26:30,2,16,25,7,57.3,5.2,138,300,1.66
2022-03-08,00:26:42,00:29:21,2,16,51,7,65.1,2.1,162,361,2.28
2022-03-17,00:18:00,00:20:51,1,23,58,8,112.9,10.3,174,213,1.45
2022-03-17,00:27:33,00:29:30,1,23,32,7,80.7,8.9,120,223,1.48
2022-03-17,00:30:27,00:32:30,1,23,56,11,72.3,4.4,126,187,1.37
2022-03-17,00:32:48,00:36:30,1,23,97,14,190.0,19.7,225,245,1.63
2022-03-17,00:33:51,00:35:12,1,23,52,14,70.6,12.7,84,120,1.27
2022-03-17,00:36:03,00:36:39,1,23,76,39,19.7,2.9,39,234,1.22
2022-03-17,00:36:36,00:39:00,1,23,29,5,65.4,3.8,147,232,1.97
2022-03-17,00:38:06,00:42:54,1,23,47,7,142.9,6.8,291,284,1.54
2022-03-17,00:41:33,00:43:36,1,23,86,20,27.5,0.8,126,252,1.29
2022-03-17,00:43:12,00:47:57,1,23,79,11,163.4,6.5,288,157,1.40
2022-03-17,00:44:03,00:44:48,1,23,101,32,36.0,6.3,48,229,1.20
2022-03-17,00:45:18,00:47:57,1,23,28,8,87.1,9.1,162,313,1.42
2022-03-17,00:21:57,00:30:54,2,17,58,3,150.4,1.5,540,204,1.82
2022-03-17,00:22:33,00:25:36,2,17,79,9,103.7,4.1,186,276,1.99
2022-03-17,00:34:39,00:37:30,2,17,42,14,28.7,0.8,174,239,1.31
2022-03-30,00:30:45,00:36:06,1,20,49,9,173.0,13.6,324,199,1.54
2022-03-30,00:39:09,00:42:27,1,20,90,13,184.6,24.5,201,286,1.65
2022-03-30,00:02:39,00:05:18,3,51,64,14,59.6,3.6,162,352,2.09
2022-03-30,00:09:03,00:10:42,3,51,58,22,53.4,6.2,102,201,1.19
2022-03-30,00:21:39,00:23:06,3,51,40,25,61.3,13.8,90,268,1.52
2022-03-30,00:22:30,00:26:57,3,51,91,9,210.3,13.6,270,132,1.24
2022-03-30,00:36:06,00:37:06,3,51,164,36,25.9,1.4,63,111,1.07
2022-03-30,00:18:03,00:22:15,5,47,34,8,132.6,9.6,255,186,1.35
2022-03-30,00:22:24,00:23:45,5,47,30,13,65.5,16.7,84,114,1.24
2022-03-30,00:01:57,00:02:27,6,62,123,55,22.4,4.3,33,106,1.09
2022-10-12,05:27:42,05:28:24,1,20,67,16,34.7,4.8,45,174,1.48
2022-10-12,05:52:18,05:52:54,1,20,83,25,23.3,2.9,39,202,1.59
